Resource,ELCC
BTM_Solar,0.0
CAM_CAM_RA_i,0.874
CAM_CAM_RA_ii,0.929
CAM_CAM_RA_iii,0.831
CAM_DR_RA,0.823
CAM_CPE_RA_i,0.831
CAM_CPE_RA_ii,0.864
Aramis,0.874
CALP01RA2027,0.831
CHEV01RA2024,0.831
CHEV01RA2025,0.928
DaggettSolarPower3,0.336
EBMUD01RA2024,0.535
EdwardsSolarII,0.108
FervoFECNevada1,0.893
GEN01RA2026,0.864
HDP01RA2027,0.864
HDP01RA2028,0.864
HDP01RA2030,0.864
HenriettaStorage,0.874
MRL01RA2030,0.831
NEXT01RA2026,0.831
Oberon,0.992
OhmConnect,0.823
RosamondCentral,0.108
Sanborn,0.874
Scarlet,0.38
SDGE01RA2024,0.864
SENA01RA2027,0.831
SummitWind,0.305
SUN01RA2031,0.82
Tecolote,0.0
TPS01RA2024,0.535
TulareSolarCenter,0.108
Tumbleweed,0.874
Generic_6hr_battery,0.877
Generic_8hr_battery,0.879
Generic_RA_Only,0.864
Arizona_Li_Battery,0.874
Arizona_Solar,0.108
CAISO_Advanced_CCGT_candidate,0.864
CAISO_Aero_CT_candidate,0.831
CAISO_New_Flow_Battery,0.874
CAISO_Reciprocating_Engine_candidate,0.874
CAISO_Shed_DR_Tranche1,0.823
Greater_Imperial_Geothermal,0.893
Humboldt_Bay_Offshore_Wind,0.464
InState_Biomass,0.812
Morro_Bay_Offshore_Wind,0.464
New_Mexico_Wind,0.323
Northern_California_Geothermal,0.893
Northern_California_Li_Battery,0.874
Northern_California_Solar,0.108
Northern_California_Wind,0.305
NW_Ext_Tx_Wind,0.219
Riverside_Li_Battery,0.874
Riverside_Palm_Springs_Wind,0.153
Riverside_Solar,0.108
Riverside_West_Pumped_Storage,0.879
Southern_Nevada_Geothermal,0.893
Tehachapi_Pumped_Storage,0.879
Wyoming_Wind,0.358
Hybrid_Solar_Test,0.38
Hybrid_Wind_Test,0.43
