Time_Index,CO2_tons_MWh_1
1,0.43
2,0.44
3,0.43
4,0.45
5,0.42
6,0.46
7,0.43
8,0.45
9,0.45
10,0.43
11,0.44
12,0.42
13,0.42
14,0.44
15,0.42
16,0.44
17,0.43
18,0.43
19,0.43
20,0.46
21,0.46
22,0.44
23,0.45
24,0.46
25,0.45
26,0.46
27,0.43
28,0.45
29,0.43
30,0.44
31,0.43
32,0.43
33,0.46
34,0.43
35,0.46
36,0.42
37,0.42
38,0.44
39,0.42
40,0.42
41,0.42
42,0.45
43,0.42
44,0.45
45,0.46
46,0.42
47,0.42
48,0.42
49,0.44
50,0.45
51,0.44
52,0.46
53,0.42
54,0.44
55,0.42
56,0.44
57,0.45
58,0.43
59,0.45
60,0.43
61,0.44
62,0.44
63,0.46
64,0.43
65,0.45
66,0.42
67,0.44
68,0.42
69,0.44
70,0.46
71,0.45
72,0.43
73,0.42
74,0.44
75,0.46
76,0.42
77,0.42
78,0.42
79,0.45
80,0.44
81,0.43
82,0.43
83,0.42
84,0.46
85,0.44
86,0.46
87,0.45
88,0.44
89,0.44
90,0.46
91,0.45
92,0.44
93,0.45
94,0.46
95,0.42
96,0.43
97,0.42
98,0.46
99,0.46
100,0.44
101,0.42
102,0.46
103,0.46
104,0.45
105,0.46
106,0.45
107,0.45
108,0.44
109,0.43
110,0.46
111,0.46
112,0.42
113,0.44
114,0.45
115,0.46
116,0.42
117,0.44
118,0.42
119,0.42
120,0.42
121,0.43
122,0.42
123,0.45
124,0.43
125,0.44
126,0.42
127,0.43
128,0.45
129,0.43
130,0.42
131,0.45
132,0.45
133,0.44
134,0.46
135,0.44
136,0.43
137,0.42
138,0.44
139,0.43
140,0.44
141,0.43
142,0.43
143,0.43
144,0.42
145,0.45
146,0.45
147,0.45
148,0.42
149,0.42
150,0.42
151,0.42
152,0.45
153,0.44
154,0.44
155,0.42
156,0.45
157,0.46
158,0.45
159,0.46
160,0.43
161,0.45
162,0.42
163,0.46
164,0.45
165,0.45
166,0.46
167,0.42
168,0.46
169,0.44
170,0.42
171,0.46
172,0.44
173,0.42
174,0.45
175,0.45
176,0.44
177,0.42
178,0.42
179,0.46
180,0.45
181,0.43
182,0.44
183,0.44
184,0.46
185,0.45
186,0.44
187,0.45
188,0.43
189,0.46
190,0.45
191,0.42
192,0.46
193,0.43
194,0.43
195,0.42
196,0.42
197,0.44
198,0.45
199,0.42
200,0.44
201,0.42
202,0.44
203,0.46
204,0.45
205,0.44
206,0.42
207,0.43
208,0.42
209,0.45
210,0.44
211,0.42
212,0.44
213,0.44
214,0.44
215,0.45
216,0.43
217,0.42
218,0.45
219,0.43
220,0.44
221,0.42
222,0.42
223,0.44
224,0.45
225,0.45
226,0.45
227,0.44
228,0.43
229,0.44
230,0.42
231,0.43
232,0.46
233,0.43
234,0.44
235,0.46
236,0.45
237,0.42
238,0.44
239,0.43
240,0.42
241,0.46
242,0.42
243,0.44
244,0.42
245,0.45
246,0.42
247,0.45
248,0.46
249,0.46
250,0.42
251,0.45
252,0.43
253,0.46
254,0.42
255,0.46
256,0.46
257,0.42
258,0.43
259,0.43
260,0.43
261,0.43
262,0.43
263,0.46
264,0.42
265,0.43
266,0.45
267,0.43
268,0.45
269,0.42
270,0.45
271,0.44
272,0.44
273,0.44
274,0.46
275,0.44
276,0.43
277,0.44
278,0.44
279,0.42
280,0.42
281,0.44
282,0.43
283,0.42
284,0.46
285,0.44
286,0.45
287,0.45
288,0.42
289,0.42
290,0.44
291,0.42
292,0.44
293,0.46
294,0.42
295,0.42
296,0.46
297,0.45
298,0.43
299,0.42
300,0.43
301,0.45
302,0.46
303,0.44
304,0.45
305,0.44
306,0.43
307,0.44
308,0.44
309,0.44
310,0.43
311,0.44
312,0.43
313,0.44
314,0.46
315,0.42
316,0.42
317,0.43
318,0.43
319,0.43
320,0.46
321,0.42
322,0.46
323,0.45
324,0.46
325,0.46
326,0.42
327,0.46
328,0.44
329,0.44
330,0.44
331,0.45
332,0.45
333,0.42
334,0.46
335,0.43
336,0.44
337,0.42
338,0.44
339,0.44
340,0.43
341,0.42
342,0.43
343,0.46
344,0.42
345,0.42
346,0.45
347,0.46
348,0.43
349,0.45
350,0.44
351,0.44
352,0.44
353,0.46
354,0.45
355,0.44
356,0.44
357,0.45
358,0.43
359,0.42
360,0.42
361,0.46
362,0.46
363,0.45
364,0.43
365,0.43
366,0.45
367,0.43
368,0.44
369,0.45
370,0.44
371,0.43
372,0.44
373,0.46
374,0.45
375,0.46
376,0.45
377,0.44
378,0.45
379,0.43
380,0.46
381,0.42
382,0.43
383,0.46
384,0.43
385,0.46
386,0.42
387,0.45
388,0.45
389,0.46
390,0.46
391,0.42
392,0.45
393,0.44
394,0.44
395,0.42
396,0.42
397,0.46
398,0.46
399,0.46
400,0.44
401,0.46
402,0.44
403,0.43
404,0.45
405,0.42
406,0.42
407,0.46
408,0.44
409,0.45
410,0.44
411,0.44
412,0.43
413,0.44
414,0.42
415,0.44
416,0.45
417,0.45
418,0.46
419,0.45
420,0.46
421,0.44
422,0.43
423,0.42
424,0.46
425,0.45
426,0.45
427,0.44
428,0.44
429,0.42
430,0.42
431,0.45
432,0.42
433,0.46
434,0.46
435,0.43
436,0.43
437,0.42
438,0.43
439,0.46
440,0.42
441,0.42
442,0.43
443,0.46
444,0.44
445,0.43
446,0.43
447,0.45
448,0.46
449,0.44
450,0.44
451,0.44
452,0.42
453,0.42
454,0.46
455,0.45
456,0.46
457,0.46
458,0.46
459,0.42
460,0.45
461,0.43
462,0.45
463,0.43
464,0.45
465,0.43
466,0.45
467,0.46
468,0.46
469,0.43
470,0.46
471,0.45
472,0.43
473,0.43
474,0.46
475,0.43
476,0.46
477,0.43
478,0.43
479,0.43
480,0.43
481,0.46
482,0.42
483,0.46
484,0.42
485,0.43
486,0.43
487,0.46
488,0.42
489,0.43
490,0.45
491,0.43
492,0.46
493,0.42
494,0.42
495,0.42
496,0.42
497,0.42
498,0.42
499,0.43
500,0.42
501,0.43
502,0.43
503,0.45
504,0.45
505,0.44
506,0.43
507,0.44
508,0.43
509,0.44
510,0.44
511,0.43
512,0.42
513,0.45
514,0.43
515,0.42
516,0.43
517,0.44
518,0.46
519,0.46
520,0.43
521,0.43
522,0.45
523,0.42
524,0.46
525,0.44
526,0.43
527,0.43
528,0.43
529,0.44
530,0.42
531,0.45
532,0.43
533,0.46
534,0.43
535,0.46
536,0.43
537,0.45
538,0.45
539,0.44
540,0.46
541,0.42
542,0.42
543,0.46
544,0.46
545,0.42
546,0.45
547,0.43
548,0.45
549,0.42
550,0.45
551,0.44
552,0.45
553,0.44
554,0.46
555,0.43
556,0.42
557,0.43
558,0.42
559,0.42
560,0.42
561,0.46
562,0.45
563,0.45
564,0.44
565,0.42
566,0.43
567,0.44
568,0.45
569,0.43
570,0.43
571,0.44
572,0.43
573,0.42
574,0.43
575,0.42
576,0.46
577,0.42
578,0.43
579,0.45
580,0.44
581,0.43
582,0.44
583,0.43
584,0.43
585,0.45
586,0.43
587,0.45
588,0.42
589,0.45
590,0.44
591,0.43
592,0.45
593,0.43
594,0.44
595,0.42
596,0.45
597,0.45
598,0.45
599,0.46
600,0.44
601,0.45
602,0.45
603,0.43
604,0.44
605,0.44
606,0.42
607,0.43
608,0.42
609,0.44
610,0.45
611,0.42
612,0.46
613,0.43
614,0.42
615,0.46
616,0.45
617,0.46
618,0.42
619,0.45
620,0.46
621,0.45
622,0.44
623,0.45
624,0.46
625,0.44
626,0.42
627,0.45
628,0.46
629,0.45
630,0.43
631,0.43
632,0.46
633,0.42
634,0.42
635,0.46
636,0.42
637,0.43
638,0.46
639,0.44
640,0.45
641,0.45
642,0.43
643,0.46
644,0.46
645,0.46
646,0.42
647,0.46
648,0.44
649,0.46
650,0.43
651,0.45
652,0.46
653,0.43
654,0.44
655,0.46
656,0.43
657,0.44
658,0.45
659,0.42
660,0.42
661,0.44
662,0.42
663,0.44
664,0.45
665,0.46
666,0.45
667,0.46
668,0.44
669,0.45
670,0.42
671,0.45
672,0.42
673,0.45
674,0.45
675,0.44
676,0.42
677,0.44
678,0.44
679,0.43
680,0.42
681,0.43
682,0.42
683,0.46
684,0.44
685,0.44
686,0.44
687,0.43
688,0.42
689,0.46
690,0.46
691,0.42
692,0.45
693,0.43
694,0.43
695,0.46
696,0.44
697,0.44
698,0.43
699,0.44
700,0.45
701,0.44
702,0.44
703,0.42
704,0.46
705,0.46
706,0.43
707,0.42
708,0.45
709,0.45
710,0.43
711,0.45
712,0.45
713,0.46
