Time_Index,BuyPriceDelta_1,SellPriceDelta_1
1,12.4,17.7
2,17.4,10.4
3,29.5,28.1
4,15.5,28.9
5,14.3,25.6
6,12.4,16.2
7,17.8,20.5
8,14.8,11
9,13.9,10.7
10,21.7,18.8
11,22.3,27.7
12,26.2,14.4
13,18.8,25.9
14,20.6,27.6
15,23.7,13.1
16,27.7,17.9
17,10,23.2
18,26.9,17.7
19,24.4,18.9
20,16.2,27.6
21,28.5,24.8
22,14.3,24.3
23,21.2,29.6
24,27.4,28.8
25,22.1,13
26,13.5,14.5
27,23.8,26.2
28,22.5,22.4
29,13.2,12.9
30,13.1,23.7
31,16.8,15
32,12.8,19.1
33,10.5,18.3
34,29.6,16.5
35,15.3,17
36,10.7,19.8
37,10.1,21.4
38,28.9,28.2
39,23.7,13
40,26.9,12.3
41,15.2,29.5
42,12.6,19.3
43,17.2,16.7
44,17.9,24
45,18.1,28.3
46,28.9,29.6
47,14.3,29.7
48,26.7,20.1
49,25.4,20.9
50,26.5,25.9
51,11.9,29.2
52,24.6,14
53,10.7,26.7
54,11.8,27.7
55,13.7,25.1
56,17.4,26.1
57,23.5,15.2
58,19.6,25.6
59,18.7,27.7
60,21.1,12
61,11.4,14.7
62,16.3,25.6
63,19.4,21.1
64,24.4,10.9
65,23,18.3
66,17.6,23.3
67,17.9,17.2
68,23.7,11.8
69,24.9,22.3
70,27.9,21.1
71,24.4,17
72,17.4,15
73,20.2,26.8
74,21.4,20.9
75,17.4,24.4
76,29.5,21.8
77,27.1,12.2
78,12.5,11.3
79,16.2,23
80,25.2,14.8
81,16.4,17.2
82,29.2,19.3
83,29.5,13.2
84,14.7,28.3
85,21.2,22.2
86,17,15.8
87,21.6,18.1
88,11.2,28.9
89,23,24.2
90,11.2,11.9
91,16.2,11.8
92,27.8,17.4
93,21.3,16.4
94,17.5,27
95,22.3,26.1
96,28.1,21.1
97,13.6,25.7
98,22.5,27.1
99,18,29.9
100,17.4,14.9
101,26.9,19
102,12.4,11.7
103,29.1,11.2
104,18.7,20
105,20.6,29.9
106,27.3,13.3
107,20.1,24
108,15.5,22.7
109,24.8,25.1
110,19.7,13.4
111,17.7,23.4
112,15.9,10.9
113,28.1,20.6
114,28.1,28.4
115,16,27.3
116,24.7,25.3
117,10.6,22.1
118,25.5,20.7
119,22.2,27.8
120,21.9,16.6
121,13.4,12.7
122,18.1,20.8
123,28.6,13.7
124,11.4,27.5
125,17.6,26.7
126,13.2,23.6
127,23.4,27.9
128,20.4,26.1
129,12.2,28
130,25.2,10.3
131,22,14.5
132,25.8,29.5
133,15.5,26.9
134,23.7,16.2
135,25.9,26.4
136,29.6,16
137,24.3,18.1
138,25.1,16.2
139,27.7,21.8
140,11.7,10.2
141,18.5,18.1
142,22.9,11
143,13,22.9
144,17,20.5
145,29.6,21.6
146,20.8,11.5
147,25.4,29.9
148,25.5,24
149,22.8,14.1
150,18.3,21.4
151,19.7,19.1
152,15.3,28.2
153,17.4,29.5
154,29.9,20.3
155,27.1,13
156,14,14.3
157,24.5,19.8
158,19.4,27.7
159,26.3,22.2
160,23.4,24.6
161,11.6,25.5
162,11,11.7
163,14.3,22.4
164,28.8,23.3
165,24.8,26.8
166,24.1,21.8
167,27.7,25.7
168,14.8,25.8
169,21.7,23.6
170,19.1,20
171,24.8,18.9
172,12.4,12.1
173,17.3,18.9
174,27.8,13.2
175,27.8,13.7
176,29,13.5
177,23.5,26.1
178,16.1,29.4
179,15.9,14
180,27.3,23.1
181,29,13.4
182,13.6,19
183,25.6,18.9
184,14.7,21.4
185,16.4,26.5
186,27.3,17
187,14.7,20.7
188,12.8,18.2
189,22.1,17.8
190,20.3,21.9
191,28.7,28.3
192,10.4,26
193,28.4,19.8
194,26.3,25.2
