Time_Index,CO2_tons_MWh_1
1,0.44
2,0.44
3,0.42
4,0.45
5,0.43
6,0.42
7,0.43
8,0.44
9,0.45
10,0.44
11,0.46
12,0.42
13,0.44
14,0.45
15,0.42
16,0.45
17,0.45
18,0.44
19,0.43
20,0.46
21,0.45
22,0.42
23,0.42
24,0.46
25,0.43
26,0.45
27,0.45
28,0.46
29,0.43
30,0.45
31,0.44
32,0.45
33,0.46
34,0.45
35,0.42
36,0.43
37,0.43
38,0.43
39,0.46
40,0.45
41,0.45
42,0.46
43,0.46
44,0.43
45,0.42
46,0.46
47,0.44
48,0.46
49,0.42
50,0.43
51,0.44
52,0.43
53,0.44
54,0.46
55,0.42
56,0.42
57,0.43
58,0.45
59,0.43
60,0.43
61,0.46
62,0.46
63,0.43
64,0.46
65,0.44
66,0.44
67,0.46
68,0.42
69,0.44
70,0.46
71,0.43
72,0.42
73,0.42
74,0.42
75,0.46
76,0.42
77,0.46
78,0.42
79,0.44
80,0.43
81,0.43
82,0.46
83,0.43
84,0.43
85,0.42
86,0.44
87,0.46
88,0.43
89,0.45
90,0.45
91,0.46
92,0.43
93,0.42
94,0.44
95,0.45
96,0.42
97,0.44
98,0.42
99,0.42
100,0.43
101,0.44
102,0.46
103,0.44
104,0.45
105,0.45
106,0.45
107,0.46
108,0.42
109,0.44
110,0.44
111,0.45
112,0.44
113,0.43
114,0.43
115,0.46
116,0.43
117,0.45
118,0.46
119,0.44
120,0.45
121,0.46
122,0.45
123,0.44
124,0.46
125,0.42
126,0.45
127,0.43
128,0.43
129,0.43
130,0.44
131,0.43
132,0.43
133,0.42
134,0.45
135,0.42
136,0.42
137,0.43
138,0.42
139,0.45
140,0.45
141,0.45
142,0.43
143,0.46
144,0.44
145,0.42
146,0.42
147,0.45
148,0.44
149,0.45
150,0.44
151,0.44
152,0.42
153,0.44
154,0.46
155,0.42
156,0.45
157,0.45
158,0.43
159,0.45
160,0.45
161,0.42
162,0.43
163,0.42
164,0.43
165,0.45
166,0.43
167,0.45
168,0.45
169,0.46
170,0.42
171,0.44
172,0.44
173,0.45
174,0.43
175,0.42
176,0.42
177,0.46
178,0.46
179,0.46
180,0.44
181,0.46
182,0.46
183,0.43
184,0.45
185,0.42
186,0.45
187,0.45
188,0.46
189,0.42
190,0.42
191,0.43
192,0.42
193,0.45
194,0.45
195,0.44
196,0.44
197,0.46
198,0.43
199,0.45
200,0.45
201,0.45
202,0.44
203,0.44
204,0.46
205,0.42
206,0.45
207,0.42
208,0.42
209,0.43
210,0.44
211,0.44
212,0.42
213,0.44
214,0.45
215,0.42
216,0.44
217,0.44
218,0.44
219,0.42
220,0.45
221,0.45
222,0.45
223,0.44
224,0.45
225,0.45
226,0.46
227,0.42
228,0.44
229,0.42
230,0.43
231,0.46
232,0.42
233,0.42
234,0.44
235,0.43
236,0.46
237,0.45
238,0.45
239,0.44
240,0.42
241,0.44
242,0.45
243,0.45
244,0.46
245,0.45
246,0.42
247,0.46
248,0.42
249,0.46
250,0.44
251,0.43
252,0.42
253,0.46
254,0.42
255,0.46
256,0.43
257,0.46
258,0.42
259,0.45
260,0.45
261,0.42
262,0.46
263,0.44
264,0.43
265,0.43
266,0.43
267,0.44
268,0.42
269,0.46
270,0.45
271,0.46
272,0.46
273,0.46
274,0.46
275,0.46
276,0.45
277,0.46
278,0.42
279,0.45
280,0.45
281,0.43
282,0.44
283,0.43
284,0.42
285,0.45
286,0.46
287,0.46
288,0.46
289,0.44
290,0.43
291,0.44
292,0.42
293,0.45
294,0.45
295,0.44
296,0.45
297,0.45
298,0.43
299,0.46
300,0.46
301,0.46
302,0.42
303,0.46
304,0.45
305,0.46
306,0.44
307,0.43
308,0.45
309,0.42
310,0.46
311,0.45
312,0.44
313,0.42
314,0.45
315,0.46
316,0.44
317,0.44
318,0.46
319,0.44
320,0.42
321,0.46
322,0.44
323,0.45
324,0.42
325,0.42
326,0.44
327,0.42
328,0.44
329,0.42
330,0.44
331,0.46
332,0.45
333,0.42
334,0.44
335,0.46
336,0.45
337,0.43
338,0.45
339,0.45
340,0.43
341,0.43
342,0.46
343,0.42
344,0.44
345,0.43
346,0.42
347,0.46
348,0.46
349,0.44
350,0.42
351,0.43
352,0.46
353,0.44
354,0.43
355,0.42
356,0.45
357,0.44
358,0.43
359,0.43
360,0.45
361,0.46
362,0.44
363,0.43
364,0.42
365,0.42
366,0.42
367,0.45
368,0.44
369,0.45
370,0.43
371,0.46
372,0.45
373,0.44
374,0.46
375,0.43
376,0.44
377,0.44
378,0.43
379,0.46
380,0.45
381,0.46
382,0.42
383,0.45
384,0.42
385,0.42
386,0.42
387,0.46
388,0.42
389,0.44
390,0.46
391,0.42
392,0.44
393,0.45
394,0.42
395,0.44
396,0.42
