Resource,Zone,New_Build,Can_Retire,Existing_Cap_MW,cluster,Existing_Cap_MWh,fom_per_mwyr,fom_per_mwyr_std,num_units,region,technology,Cap_Size,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,LDS,cost_case,tech_detail,basis_year,Fixed_OM_Cost_per_MWhyr,capex_mw,capex_mwh,Var_OM_Cost_per_MWh_In,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,Max_Cap_MW,Max_Cap_MWh,regional_cost_multiplier,interconnect_annuity,interconnect_capex_mw,plant_inv_cost_mwyr,Self_Disch,Eff_Up,Eff_Down,Existing_Charge_Cap_MW,Min_Cap_MWh,Max_Charge_Cap_MW,Max_Duration,Min_Duration,Model,LINK_STAGES
AZ_batteries_1,1,0,0,6469.0,1,21040.7,0.0,2340.53,59.0,AZ,Batteries,109.64,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.921954446,0.921954446,0.0,-1.0,-1.0,8.0,0.0,1,0
AZ_hydroelectric_pumped_storage_1,1,0,0,97.3,1,1508.2,24373.276,7718.338,5.0,AZ,Hydroelectric Pumped Storage,19.46,24373,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.894427191,0.894427191,0.0,-1.0,-1.0,20.0,8.0,1,0
CA_N_batteries_1,2,0,0,3944.4,1,13508.9,0.0,2307.249,77.0,CA_N,Batteries,51.22,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.921954446,0.921954446,0.0,-1.0,-1.0,8.0,0.0,1,0
CA_N_hydroelectric_pumped_storage_1,2,0,0,2246.9,1,34827.0,6518.219,6349.5,32.0,CA_N,Hydroelectric Pumped Storage,70.22,6518,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.894427191,0.894427191,0.0,-1.0,-1.0,20.0,8.0,1,0
CA_S_batteries_1,3,0,0,13216.0,1,44318.1,0.0,2058.882,209.0,CA_S,Batteries,63.23,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.921954446,0.921954446,0.0,-1.0,-1.0,8.0,0.0,1,0
CA_S_hydroelectric_pumped_storage_1,3,0,0,1665.0,1,25807.5,8882.668,996.687,8.0,CA_S,Hydroelectric Pumped Storage,208.12,8882,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.894427191,0.894427191,0.0,-1.0,-1.0,20.0,8.0,1,0
MT_WY_CO_batteries_1,4,0,0,335.2,1,1297.9,15812.368,2252.826,16.0,MT_WY_CO,Batteries,20.95,15812,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.921954446,0.921954446,0.0,-1.0,-1.0,8.0,0.0,1,0
MT_WY_CO_hydroelectric_pumped_storage_1,4,0,0,578.5,1,8966.8,10190.704,7216.122,5.0,MT_WY_CO,Hydroelectric Pumped Storage,115.7,10190,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.894427191,0.894427191,0.0,-1.0,-1.0,20.0,8.0,1,0
NM_batteries_1,5,0,0,1238.8,1,4731.9,0.0,2387.352,19.0,NM,Batteries,65.2,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.921954446,0.921954446,0.0,-1.0,-1.0,8.0,0.0,1,0
PNW_batteries_1,6,0,0,1076.6,1,3757.1,12683.882,1620.512,21.0,PNW,Batteries,51.26,12683,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.921954446,0.921954446,0.0,-1.0,-1.0,8.0,0.0,1,0
PNW_hydroelectric_pumped_storage_1,6,0,0,314.0,1,4867.0,9618.218,292.334,6.0,PNW,Hydroelectric Pumped Storage,52.33,9618,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.894427191,0.894427191,0.0,-1.0,-1.0,20.0,8.0,1,0
UT_NV_batteries_1,7,0,0,2573.1,1,6390.3,13686.058,2238.149,28.0,UT_NV,Batteries,91.9,13686,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.921954446,0.921954446,0.0,-1.0,-1.0,8.0,0.0,1,0
