Time_Index,BuyPrice_1,SellPrice_1
1,25.63,23.63
2,25.9,23.9
3,26.49,24.49
4,25.34,23.34
5,26.03,24.03
6,26.15,24.15
7,22.6,20.6
8,22.88,20.88
9,22.91,20.91
10,16.08,14.08
11,16.27,14.27
12,16.42,14.42
13,15.21,13.21
14,15.67,13.67
15,15.41,13.41
16,22.72,20.72
17,23.47,21.47
18,23.36,21.36
19,27.28,25.28
20,28.23,26.23
21,27.98,25.98
22,27.11,25.11
23,27.51,25.51
24,27.04,25.04
25,25.95,23.95
26,25.65,23.65
27,26.15,24.15
28,26.44,24.44
29,26.03,24.03
30,25.59,23.59
31,22.25,20.25
32,22.95,20.95
33,22.79,20.79
34,15.72,13.72
35,16.53,14.53
36,16.03,14.03
37,14.97,12.97
38,15.52,13.52
39,15.17,13.17
40,22.44,20.44
41,23.18,21.18
42,22.68,20.68
43,27.86,25.86
44,27.63,25.63
45,27.23,25.23
46,27.27,25.27
47,28.13,26.13
48,26.94,24.94
49,26.03,24.03
50,25.38,23.38
51,26.7,24.7
52,26.1,24.1
53,25.66,23.66
54,26.09,24.09
55,22.39,20.39
56,22.97,20.97
57,22.9,20.9
58,15.61,13.61
59,15.99,13.99
60,16.06,14.06
61,15.07,13.07
62,15.5,13.5
63,14.66,12.66
64,23.19,21.19
65,23.58,21.58
66,23.3,21.3
67,27.48,25.48
68,27.53,25.53
69,27.53,25.53
70,26.75,24.75
71,27.83,25.83
72,27.29,25.29
73,26.36,24.36
74,25.15,23.15
75,26.94,24.94
76,25.73,23.73
77,25.46,23.46
78,25.84,23.84
79,22.47,20.47
80,22.57,20.57
81,22.33,20.33
82,15.71,13.71
83,16.24,14.24
84,16.44,14.44
85,15.09,13.09
86,15.39,13.39
87,15.14,13.14
88,22.91,20.91
89,22.82,20.82
90,22.3,20.3
91,27.58,25.58
92,28.39,26.39
93,28.25,26.25
94,26.95,24.95
95,27.78,25.78
96,26.78,24.78
97,25.88,23.88
98,25.42,23.42
99,26.23,24.23
100,25.73,23.73
101,25.8,23.8
102,26.01,24.01
103,22.37,20.37
104,23.13,21.13
105,23,21
106,16.24,14.24
107,16.55,14.55
108,16.09,14.09
109,14.99,12.99
110,15.24,13.24
111,15.03,13.03
112,22.75,20.75
113,22.98,20.98
114,22.83,20.83
115,28.13,26.13
116,28.44,26.44
117,27.33,25.33
118,27.38,25.38
119,27.33,25.33
120,27.21,25.21
121,26.43,24.43
122,25.22,23.22
123,26.04,24.04
124,25.91,23.91
125,25.75,23.75
126,25.73,23.73
127,21.93,19.93
128,22.91,20.91
129,22.25,20.25
130,16.25,14.25
131,16.83,14.83
132,16.06,14.06
133,15.5,13.5
134,15.17,13.17
135,15.14,13.14
136,22.94,20.94
137,22.98,20.98
138,22.75,20.75
139,27.78,25.78
140,28.59,26.59
141,27.68,25.68
142,27.03,25.03
143,27.83,25.83
144,26.57,24.57
145,26.52,24.52
146,26.1,24.1
147,26.56,24.56
148,25.44,23.44
149,25.75,23.75
150,25.82,23.82
151,22.14,20.14
152,22.55,20.55
153,23.35,21.35
154,16.07,14.07
155,16.46,14.46
156,15.84,13.84
157,15.39,13.39
158,15.26,13.26
159,15.16,13.16
160,23.17,21.17
161,23.13,21.13
162,22.86,20.86
163,28.23,26.23
164,27.68,25.68
165,27.93,25.93
166,26.63,24.63
167,28.21,26.21
168,27.54,25.54
169,28.65,26.65
170,27.98,25.98
171,28.53,26.53
172,28.24,26.24
173,28.44,26.44
174,29.01,27.01
175,19.56,17.56
176,19.92,17.92
177,20.26,18.26
178,13.34,11.34
179,13.2,11.2
180,13.36,11.36
181,12.46,10.46
182,12.02,10.02
183,12.38,10.38
184,20.99,18.99
185,21.48,19.48
186,21.45,19.45
187,30.15,28.15
188,29.2,27.2
189,29.94,27.94
190,30.08,28.08
191,30.05,28.05
192,29.8,27.8
193,28.18,26.18
194,28.35,26.35
195,28.25,26.25
196,27.55,25.55
197,27.84,25.84
198,28.76,26.76
199,19.95,17.95
200,20.03,18.03
201,20.36,18.36
202,12.93,10.93
203,13.43,11.43
204,13.6,11.6
205,12.6,10.6
206,12.14,10.14
207,12.79,10.79
208,21.2,19.2
209,21.54,19.54
210,20.77,18.77
211,30.3,28.3
